FIPS,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services,"Agriculture, Forestry, Fishing and Hunting","Arts, Entertainment, and Recreation",Construction,Educational Services,Finance and Insurance,Health Care and Social Assistance,Information,Management of Companies and Enterprises,Manufacturing,"Mining, Quarrying, and Oil and Gas Extraction",Other Services (except Public Administration),"Professional, Scientific, and Technical Services",Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
19175,0.060055,0.065456,0.0,0.012621,0.023271,0.01768,0.053674,0.17247,0.056658,0.0,0.245372,0.0,0.043102,0.014448,0.142631,0.020425,0.02503,0.047106
19177,0.035536,0.003257,0.0,0.0,0.022057,0.0,0.053916,0.156847,0.031153,0.0,0.386106,0.005251,0.020355,0.031444,0.139692,0.068436,0.0,0.045951
19179,0.074215,0.070661,0.0,0.019174,0.050201,0.007748,0.053161,0.157971,0.033036,0.012956,0.234133,0.0,0.033643,0.018838,0.148562,0.046356,0.018225,0.02112
19181,0.10095,0.035364,0.001955,0.037709,0.084094,0.184324,0.072133,0.105209,0.014975,0.001929,0.056041,0.0,0.055892,0.031087,0.169276,0.010641,0.0,0.038422
19183,0.141048,0.005657,0.001717,0.017583,0.112675,0.011683,0.056201,0.188519,0.026443,0.0,0.104208,0.000877,0.053594,0.032794,0.145822,0.025199,0.0,0.07598
19185,0.04419,0.015663,0.0,0.00469,0.032808,0.0,0.041512,0.269159,0.027661,0.0,0.247148,0.0,0.037718,0.055161,0.129893,0.035476,0.0,0.05892
19187,0.07262,0.019673,0.0,0.010412,0.050378,0.021288,0.038129,0.131454,0.055048,0.009819,0.097603,0.0,0.047007,0.05302,0.124894,0.223915,0.0,0.04474
19189,0.022515,0.003504,0.0,0.021543,0.039127,0.150206,0.050521,0.049698,0.036212,0.0,0.402469,0.0,0.027762,0.029481,0.072487,0.066057,0.0,0.028418
19191,0.06546,0.02258,0.003908,0.007145,0.032521,0.311283,0.045479,0.120387,0.025505,0.0,0.146606,0.018989,0.036952,0.019195,0.088702,0.02586,0.0,0.029428
19193,0.09516,0.052649,0.001293,0.010302,0.047571,0.061398,0.040775,0.176422,0.037651,0.021384,0.147153,0.0,0.047081,0.027049,0.131602,0.036868,0.016811,0.048829
19195,0.055621,0.017311,0.0,0.244559,0.044316,0.0,0.047933,0.098128,0.014371,0.0,0.247235,0.0,0.036578,0.009161,0.0615,0.02137,0.01193,0.089988
19197,0.047407,0.006828,0.005093,0.005292,0.029464,0.0,0.047973,0.165451,0.033012,0.0,0.408806,0.0,0.042013,0.043365,0.080648,0.021908,0.006644,0.056095
20001,0.073834,0.008853,0.0,0.002149,0.021909,0.0,0.050829,0.129045,0.056397,0.0,0.342712,0.032158,0.030381,0.057109,0.127073,0.023531,0.005459,0.03856
20003,0.085767,0.001874,0.0,0.0,0.062269,0.0,0.122189,0.210893,0.0,0.0,0.060967,0.019511,0.053458,0.027769,0.285499,0.02692,0.0,0.042884
20005,0.074957,0.008166,0.0,0.018723,0.042547,0.308155,0.039322,0.134093,0.013179,0.0,0.139197,0.0,0.051695,0.016803,0.090624,0.018917,0.0,0.043622
20007,0.047541,0.011058,0.0,0.004163,0.019314,0.0,0.049027,0.182736,0.120393,0.0,0.129548,0.098685,0.062232,0.030098,0.161937,0.029785,0.0,0.053484
20009,0.065884,0.024859,0.001376,0.021559,0.064609,0.005461,0.089262,0.228766,0.022693,0.0,0.107056,0.03206,0.054766,0.049485,0.124287,0.042,0.01844,0.047436
20011,0.10343,0.005318,0.0,0.0,0.036611,0.0,0.077223,0.112833,0.022888,0.035667,0.295815,0.0015,0.047103,0.028641,0.141641,0.018908,0.0,0.072421
20013,0.038395,0.004818,0.0,0.130978,0.01884,0.005617,0.091576,0.171943,0.057598,0.0,0.248266,0.0,0.036169,0.029632,0.079175,0.048836,0.0,0.038157
20015,0.112034,0.042769,0.0,0.028176,0.066104,0.015892,0.056334,0.178075,0.009274,0.00996,0.132901,0.00469,0.063961,0.055692,0.133985,0.049966,0.008275,0.03191
20017,0.128702,0.0,0.0,0.0,0.075076,0.0,0.047191,0.0,0.0,0.0,0.378681,0.0,0.040279,0.075323,0.085801,0.168947,0.0,0.0
20019,0.080524,0.0,0.0,0.0,0.0445,0.0,0.156811,0.264883,0.0,0.0,0.138302,0.084002,0.055096,0.0,0.175882,0.0,0.0,0.0
