FIPS,Health Care and Social Assistance,Manufacturing,Retail Trade,Accommodation and Food Services,Others
8053,0.0,0.0,0.201493,0.302239,0.496269
8055,0.354122,0.0,0.192187,0.14414,0.30955
8057,0.0,0.0,0.198792,0.250331,0.550876
8059,0.112632,0.036546,0.117796,0.095985,0.637041
8061,0.42703,0.0,0.325357,0.084728,0.162885
8063,0.147009,0.053062,0.164721,0.127969,0.507239
8067,0.105314,0.06853,0.111473,0.131181,0.583503
8065,0.151506,0.026672,0.129368,0.142167,0.550286
8069,0.135875,0.088188,0.126171,0.127641,0.522125
8071,0.232546,0.038535,0.198515,0.178096,0.352307
8073,0.160042,0.01066,0.195537,0.166269,0.467492
8075,0.189342,0.065004,0.178123,0.139461,0.42807
8077,0.196164,0.05373,0.130928,0.107408,0.51177
8079,0.0,0.0,0.235039,0.355292,0.409668
8081,0.156307,0.016129,0.175085,0.143347,0.509132
8083,0.18706,0.054171,0.178439,0.195544,0.384786
8085,0.196997,0.089103,0.154723,0.097864,0.461313
8087,0.126625,0.27265,0.1033,0.085499,0.411927
8089,0.250847,0.117653,0.141089,0.118564,0.371847
8091,0.043573,0.069561,0.131412,0.282189,0.473266
8093,0.02814,0.041469,0.143354,0.162468,0.62457
8095,0.261507,0.0,0.132911,0.061277,0.544304
8097,0.037011,0.00912,0.072063,0.267558,0.614248
8099,0.223254,0.059145,0.206762,0.107809,0.40303
8101,0.220679,0.086958,0.135781,0.093907,0.462675
8103,0.192215,0.007308,0.116597,0.078057,0.605823
8105,0.172433,0.033753,0.132999,0.101452,0.559362
8107,0.092612,0.012837,0.119721,0.330432,0.444399
8109,0.097548,0.103375,0.10498,0.043664,0.650433
8111,0.0,0.0,0.151426,0.302853,0.545721
8113,0.028011,0.02186,0.087988,0.279616,0.582525
8115,0.316566,0.073534,0.127043,0.09372,0.389136
8117,0.049397,0.018717,0.143669,0.308002,0.480215
8119,0.097706,0.013125,0.130323,0.248523,0.510323
8121,0.07082,0.142072,0.136328,0.058426,0.592354
8123,0.081613,0.143373,0.0951,0.077094,0.602819
8125,0.182397,0.03008,0.137826,0.067542,0.582155
9001,0.131814,0.067193,0.087407,0.064483,0.649102
9003,0.145066,0.09296,0.081483,0.059248,0.621243
9005,0.177632,0.150024,0.134017,0.079522,0.458806
9007,0.20274,0.138113,0.113179,0.081032,0.464936
9009,0.171835,0.065161,0.092842,0.066368,0.603794
9011,0.143561,0.131871,0.121237,0.200771,0.40256
9013,0.181442,0.146489,0.142083,0.130251,0.399735
9015,0.202343,0.182599,0.143453,0.096922,0.374683
10001,0.190329,0.074215,0.148971,0.120749,0.465737
10003,0.135464,0.04033,0.086933,0.066176,0.671097
