FIPS,Median,MAD
6017,2.0,1.0
6019,1.0,0.0
6021,7.0,1.5
6023,4.0,0.0
6025,1.0,0.0
6027,7.5,0.5
6029,1.0,0.0
6031,1.0,0.0
6033,4.0,0.0
6035,5.0,1.0
6037,1.0,0.0
6039,2.0,1.0
6041,1.0,0.0
6043,10.0,0.0
6045,5.0,1.0
6047,1.0,0.0
6049,10.0,0.0
6051,8.0,1.0
6053,1.0,0.0
6055,1.0,0.0
6057,4.0,0.5
6059,1.0,0.0
6061,1.0,0.0
6063,8.0,2.0
6065,1.0,0.0
6067,1.0,0.0
6069,4.0,0.0
6071,1.0,0.0
6073,1.0,0.0
6075,1.0,0.0
6077,1.0,0.0
6079,1.0,0.0
6081,1.0,0.0
6083,1.0,0.0
6085,1.0,0.0
6087,1.0,0.0
6089,1.0,0.0
6091,10.0,0.0
6093,8.0,1.0
6095,1.0,0.0
6097,1.0,0.0
6099,1.0,0.0
6101,1.0,0.0
6103,4.0,1.0
6105,10.0,0.0
6107,1.0,0.0
6109,4.0,0.0
6111,1.0,0.0
6113,1.0,0.0
6115,1.0,0.0
8001,1.0,0.0
8003,7.5,0.5
8005,1.0,0.0
8007,7.5,0.5
8009,10.0,0.0
8011,7.0,0.0
8013,1.0,0.0
8014,1.0,0.0
8015,7.0,0.0
8017,10.0,0.0
8019,2.0,0.0
8021,9.0,1.0
8023,10.0,0.0
8025,10.0,0.0
8027,10.0,0.0
8029,7.0,0.0
8031,1.0,0.0
8033,10.0,0.0
8035,1.0,0.0
8037,7.0,0.0
8039,2.0,0.0
8041,1.0,0.0
8043,4.0,0.0
8045,5.0,1.0
8047,2.0,0.0
8049,10.0,0.0
8051,9.0,1.0
8053,10.0,0.0
8055,8.5,1.5
8057,10.0,0.0
8059,1.0,0.0
8061,10.0,0.0
8063,10.0,0.0
8065,7.0,0.0
8067,5.0,0.5
8069,1.0,0.0
8071,7.0,0.0
8073,10.0,0.0
8075,4.0,0.0
8077,1.0,0.0
8079,10.0,0.0
8081,4.0,0.0
8083,8.0,0.0
8085,4.5,0.5
8087,4.5,0.5
8089,7.0,0.0
8091,10.0,0.0
8093,10.0,0.0
8095,10.0,0.0
8097,7.0,0.0
8099,8.0,1.0
8101,1.0,0.0
8103,10.0,0.0
8105,10.0,0.0
8107,4.5,0.5
8109,10.0,0.0
8111,10.0,0.0
8113,10.0,0.0
8115,10.0,0.0
8117,4.0,0.0
8119,2.0,0.0
8121,10.0,0.0
8123,1.0,0.0
8125,8.5,1.5
9001,1.0,0.0
9003,1.0,0.0
9005,4.0,2.0
9007,1.0,0.0
9009,1.0,0.0
9011,1.0,0.0
9013,1.0,0.0
9015,2.0,1.0
10001,1.0,0.0
10003,1.0,0.0
10005,4.0,2.0
11001,1.0,0.0
12001,1.0,0.0
12003,2.0,0.0
12005,1.0,0.0
12007,2.0,0.0
12009,1.0,0.0
12011,1.0,0.0
12013,2.0,0.0
12015,1.0,0.0
12017,1.0,0.0
12019,1.0,0.0
12021,1.0,0.0
12023,4.0,0.5
12027,3.0,1.0
12029,2.5,0.5
12031,1.0,0.0
12033,1.0,0.0
12035,1.0,0.0
12037,7.0,2.5
12039,2.0,0.0
12041,2.0,0.0
12043,7.0,1.0
12045,7.0,2.5
12047,7.0,3.0
12049,4.0,0.5
12051,4.0,2.0
12053,1.0,0.0
