FIPS,AgeDist
16079,0.2414
16081,0.1307
16083,0.1615
16085,0.2673
16087,0.2621
17001,0.2096
17003,0.2476
17005,0.2001
17007,0.165
17009,0.1454
17011,0.2295
17013,0.2472
17015,0.2644
17017,0.1837
17019,0.1362
17021,0.2072
17023,0.2057
17025,0.2105
17027,0.1806
17029,0.1801
17031,0.1542
17033,0.1988
17035,0.2062
17037,0.1328
17039,0.2005
17041,0.1868
17043,0.1659
17045,0.2311
17047,0.2239
17049,0.1846
17051,0.1964
17053,0.1986
17055,0.2124
17057,0.2139
17059,0.2448
17061,0.2025
17063,0.1492
17065,0.2246
17067,0.2414
17069,0.2768
17071,0.2677
17073,0.2132
17075,0.224
17077,0.167
17079,0.2085
17081,0.1977
17083,0.2009
17085,0.2934
17087,0.2194
17089,0.147
17091,0.1745
17093,0.1096
17095,0.2237
17097,0.1526
17099,0.1973
17101,0.1823
17103,0.2061
17105,0.1977
17107,0.1898
17109,0.1869
17111,0.1568
17113,0.1414
17115,0.2079
17117,0.211
17119,0.1811
17121,0.203
17123,0.2415
17125,0.2314
17127,0.2178
17129,0.2015
17131,0.2235
17133,0.1885
17135,0.2095
17137,0.2063
17139,0.1944
17141,0.1945
17143,0.1799
17145,0.1965
17147,0.2043
17149,0.22
17151,0.2871
17153,0.2335
17155,0.2391
17157,0.1966
17159,0.213
17161,0.2015
17163,0.168
17165,0.2096
17167,0.1884
17169,0.2366
17171,0.2042
17173,0.235
17175,0.2279
17177,0.2366
17179,0.1971
17181,0.2221
17183,0.2015
17185,0.2204
17187,0.2062
17189,0.2132
17191,0.2219
17193,0.2235
17195,0.2172
17197,0.1393
17199,0.1976
17201,0.1836
17203,0.1887
18001,0.1617
18003,0.1524
18005,0.1681
18007,0.1808
18009,0.2186
18011,0.1411
18013,0.2557
18015,0.2025
18017,0.1865
18019,0.1633
18021,0.1879
18023,0.1706
18025,0.2067
18027,0.1585
18029,0.1846
18031,0.1731
18033,0.1688
18035,0.1764
18037,0.1841
18039,0.1536
18041,0.2095
18043,0.1695
18045,0.206
18047,0.1948
18049,0.2043
18051,0.1793
18053,0.1977
18055,0.2025
18057,0.1318
18059,0.1696
18061,0.187
18063,0.146
18065,0.1962
18067,0.2007
18069,0.1793
18071,0.1696
18073,0.1843
18075,0.1857
18077,0.1867
18079,0.1701
18081,0.1521
18083,0.1876
18085,0.1762
18087,0.1438
18089,0.1732
18091,0.1876
18093,0.2073
18095,0.189
18097,0.1305
18099,0.1888
18101,0.2071
18103,0.1827
18105,0.1393
18107,0.1874
18109,0.177
18111,0.2028
18113,0.1704
18115,0.2344
18117,0.2028
18119,0.2023
18121,0.2009
18123,0.191
18125,0.206
18127,0.1738
18129,0.1997
18131,0.2075
18133,0.1721
18135,0.2091
18137,0.1878
18139,0.1919
18141,0.1653
18143,0.1722
18145,0.1795
18147,0.2051
18149,0.1941
18151,0.2153
18153,0.1849
18155,0.1842
18157,0.1214
18159,0.2179
18161,0.2022
18163,0.1774
18165,0.2058
18167,0.17
18169,0.217
18171,0.2107
18173,0.1809
18175,0.1793
18177,0.1961
18179,0.1871
18181,0.2086
18183,0.1879
19001,0.2283
19003,0.2359
19005,0.2357
19007,0.2389
19009,0.2517
19011,0.1905
19013,0.1741
19015,0.1932
19017,0.2007
19019,0.1852
19021,0.1651
19023,0.2307
19025,0.2351
19027,0.2114
19029,0.237
19031,0.2062
19033,0.2279
19035,0.2477
19037,0.216
19039,0.1908
19041,0.2187
19043,0.2473
19045,0.2034
19047,0.1797
19049,0.125
19051,0.1818
19053,0.2107
19055,0.2046
19057,0.2149
19059,0.2715
19061,0.1862
19063,0.2245
19065,0.2206
19067,0.2263
