FIPS,% Adults with Diabetes,% Black,% American Indian & Alaska Native,% 65 and over
6033,12.700000,1.759809,4.395639,22.731509
6035,19.600000,7.853386,4.269203,15.151614
6037,8.400000,7.964490,1.437373,13.615898
6039,12.300000,3.283398,4.425643,13.985362
6041,5.300000,2.514384,0.985112,22.314435
6043,7.100000,1.156202,3.399920,27.943449
6045,7.600000,0.768212,6.320343,22.105792
6047,14.300000,2.976362,2.515968,11.225957
6049,18.600000,1.025407,5.001709,26.865672
6051,5.600000,0.715789,2.989474,15.810526
6053,8.400000,2.554443,2.605867,13.590867
6055,8.600000,2.063593,1.251641,19.126075
6057,6.200000,0.493500,1.263842,27.463489
6059,8.500000,1.640381,1.032810,14.764335
6061,6.700000,1.638310,1.070841,19.561540
6063,11.000000,0.951925,3.142948,28.424803
6065,9.400000,6.175069,1.912510,14.408685
6067,9.500000,9.764078,1.540194,14.120995
6069,9.000000,0.875896,3.081073,12.897931
6071,9.400000,8.143570,2.069209,11.574906
6073,7.100000,4.702928,1.317087,14.041367
6075,6.800000,5.034275,0.743797,15.651332
6077,10.400000,7.106529,1.977121,12.743603
6079,8.000000,1.747474,1.401359,20.083800
6081,7.600000,2.260297,0.879221,16.103152
6083,8.700000,1.785558,2.153957,15.332779
6085,7.600000,2.358005,1.199699,13.477242
6087,6.900000,0.971723,1.856666,16.454395
6089,11.000000,1.050878,3.167074,20.858143
6091,6.900000,0.502176,2.510880,31.637094
6093,13.400000,1.347086,5.091026,25.523740
6095,10.200000,13.747565,1.271131,15.769911
6097,7.200000,1.602586,2.190454,19.745090
6099,11.400000,2.653438,1.985395,13.153333
6101,10.300000,2.170298,2.357268,15.393515
6103,9.900000,0.730646,3.355967,19.383253
6105,7.800000,0.510570,5.217391,27.283606
6107,9.300000,1.234918,2.763915,11.439464
6109,9.700000,1.868388,2.302939,26.181265
6111,9.300000,1.766343,1.867875,15.557243
6113,6.300000,2.477678,1.790770,12.492741
6115,11.900000,3.528914,2.921541,12.756115
8000,6.300000,4.022165,1.599842,14.190500
8001,7.700000,3.188517,2.276759,10.468910
8003,6.400000,1.312714,5.298807,13.612660
8005,7.000000,10.514807,1.145705,13.062506
