FIPS,County,State,Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population,Population Density
48391,Refugio County,Texas,6948.0,394.0,1139.0,524.0,1474.0,1800.0,1617.0,1533.0,2807.0,2608.0,3360.0,3464.0,3.4817546352997097
48393,Roberts County,Texas,854.0,50.0,148.0,57.0,202.0,204.0,193.0,198.0,337.0,319.0,411.0,426.0,0.3568297113151032
48395,Robertson County,Texas,17074.0,1083.0,2917.0,1289.0,4105.0,4268.0,3412.0,4000.0,7356.0,5718.0,8371.0,8733.0,7.709329099193155
48397,Rockwall County,Texas,104915.0,6441.0,21500.0,8550.0,27386.0,27643.0,13395.0,27941.0,50780.0,26194.0,51791.0,53071.0,318.6839027631822
48399,Runnels County,Texas,10264.0,596.0,1783.0,803.0,2314.0,2615.0,2153.0,2379.0,4338.0,3547.0,5211.0,5054.0,3.770397596151715
48401,Rusk County,Texas,54406.0,3003.0,9021.0,4765.0,14595.0,13825.0,9197.0,12024.0,26156.0,16226.0,29181.0,25205.0,22.733155916050574
48403,Sabine County,Texas,10542.0,507.0,1399.0,604.0,1872.0,2893.0,3267.0,1906.0,3596.0,5040.0,5168.0,5322.0,8.277949458067926
48405,San Augustine County,Texas,8237.0,420.0,1183.0,495.0,1601.0,2311.0,2227.0,1603.0,3032.0,3602.0,4068.0,4152.0,5.993181661197063
48407,San Jacinto County,Texas,28859.0,1558.0,4564.0,2081.0,6065.0,8103.0,6488.0,6122.0,11555.0,11182.0,14405.0,14462.0,19.574285107211857
48409,San Patricio County,Texas,66730.0,4692.0,12906.0,5813.0,17598.0,15512.0,10209.0,17598.0,31114.0,18018.0,33606.0,33050.0,37.15497574515889
48411,San Saba County,Texas,6055.0,329.0,885.0,561.0,1438.0,1377.0,1465.0,1214.0,2612.0,2229.0,3252.0,2757.0,2.059210610594056
48413,Schleicher County,Texas,2793.0,113.0,554.0,235.0,667.0,665.0,559.0,667.0,1223.0,903.0,1398.0,1403.0,0.8227904239343554
48415,Scurry County,Texas,16703.0,1116.0,3027.0,1574.0,4496.0,3924.0,2566.0,4143.0,8017.0,4543.0,9000.0,7655.0,7.122539672171788
48417,Shackelford County,Texas,3265.0,182.0,564.0,214.0,707.0,907.0,691.0,746.0,1291.0,1228.0,1599.0,1673.0,1.3788069327108525
48419,Shelby County,Texas,25274.0,1794.0,4770.0,2064.0,5847.0,6267.0,4532.0,6564.0,10933.0,7777.0,12540.0,12757.0,12.26556095658084
48421,Sherman County,Texas,3022.0,193.0,615.0,270.0,683.0,799.0,462.0,808.0,1353.0,861.0,1570.0,1447.0,1.264090754702199
48423,Smith County,Texas,232751.0,15557.0,41212.0,22511.0,59464.0,54670.0,39337.0,56769.0,108526.0,67456.0,112436.0,120480.0,97.5239533450194
48425,Somervell County,Texas,9128.0,452.0,1552.0,699.0,2111.0,2544.0,1770.0,2004.0,4018.0,3106.0,4495.0,4628.0,18.900955215720973
48427,Starr County,Texas,64633.0,6092.0,15004.0,7292.0,16345.0,12530.0,7370.0,21096.0,30801.0,12736.0,31332.0,32962.0,20.401706916654778
48429,Stephens County,Texas,9366.0,526.0,1531.0,830.0,2317.0,2272.0,1890.0,2057.0,4151.0,3158.0,4926.0,4438.0,4.032728173414521
48431,Sterling County,Texas,1291.0,92.0,276.0,100.0,330.0,307.0,186.0,368.0,579.0,344.0,654.0,641.0,0.5397782787342029
48433,Stonewall County,Texas,1350.0,78.0,225.0,77.0,251.0,358.0,361.0,303.0,480.0,567.0,653.0,683.0,0.5688429065310624
48435,Sutton County,Texas,3776.0,240.0,650.0,303.0,824.0,1036.0,723.0,890.0,1641.0,1245.0,1916.0,1863.0,1.0027419314223105
48437,Swisher County,Texas,7397.0,446.0,1378.0,743.0,1876.0,1649.0,1305.0,1824.0,3423.0,2150.0,3939.0,3460.0,3.2084108976174073
48439,Tarrant County,Texas,2102515.0,143530.0,403702.0,196727.0,603416.0,510629.0,244511.0,547232.0,1067753.0,487530.0,1026955.0,1074327.0,939.9514920984184
48441,Taylor County,Texas,138034.0,10125.0,24125.0,19301.0,36237.0,28115.0,20131.0,34250.0,68602.0,35182.0,67192.0,70949.0,58.21202545273474
48443,Terrell County,Texas,776.0,41.0,105.0,34.0,163.0,178.0,255.0,146.0,267.0,363.0,377.0,375.0,0.12706240189406132
48445,Terry County,Texas,12337.0,937.0,2421.0,1198.0,3145.0,2778.0,1858.0,3358.0,5685.0,3294.0,6498.0,5856.0,5.3590589267337325
48447,Throckmorton County,Texas,1501.0,63.0,226.0,82.0,288.0,397.0,445.0,289.0,530.0,682.0,708.0,765.0,0.6350752498844252
48449,Titus County,Texas,32750.0,2591.0,6802.0,3239.0,7684.0,7589.0,4845.0,9393.0,14906.0,8451.0,16040.0,16704.0,31.140543929798447
48451,Tom Green County,Texas,119200.0,7961.0,20372.0,13959.0,32621.0,25662.0,18625.0,28333.0,58604.0,32263.0,59512.0,59917.0,30.238722995470468
48453,Travis County,Texas,1273954.0,77129.0,193250.0,115377.0,462193.0,296452.0,129553.0,270379.0,740539.0,263036.0,643306.0,630261.0,495.91888611036126
48455,Trinity County,Texas,14651.0,763.0,2124.0,921.0,2882.0,4005.0,3956.0,2887.0,5443.0,6321.0,7066.0,7609.0,8.153374707084476
48457,Tyler County,Texas,21672.0,1055.0,3118.0,1816.0,5427.0,5361.0,4895.0,4173.0,9677.0,7822.0,11555.0,9968.0,9.052031520760952
48459,Upshur County,Texas,41753.0,2414.0,7518.0,3080.0,9747.0,11169.0,7825.0,9932.0,17784.0,14037.0,20493.0,21212.0,27.652639716761946
48461,Upton County,Texas,3657.0,256.0,791.0,285.0,967.0,821.0,537.0,1047.0,1638.0,972.0,1820.0,1824.0,1.1374768095632406
48463,Uvalde County,Texas,26741.0,1924.0,5246.0,2775.0,6553.0,5735.0,4508.0,7170.0,12219.0,7352.0,13152.0,13642.0,6.652890756827685
48465,Val Verde County,Texas,49025.0,4065.0,9852.0,5431.0,12925.0,9749.0,7003.0,13917.0,23708.0,11400.0,25037.0,24004.0,6.019130831703016
48467,Van Zandt County,Texas,56590.0,3340.0,9663.0,4272.0,12527.0,15293.0,11495.0,13003.0,23895.0,19692.0,27663.0,29081.0,25.93212682760679
48469,Victoria County,Texas,92084.0,6303.0,16950.0,8476.0,24030.0,21083.0,15242.0,23253.0,42296.0,26535.0,45116.0,46905.0,40.30560698326532
48471,Walker County,Texas,72971.0,2981.0,7749.0,13787.0,20354.0,18051.0,10049.0,10730.0,44030.0,18211.0,41262.0,30438.0,35.926397327723166
48473,Waller County,Texas,55246.0,3618.0,9707.0,11323.0,12233.0,11819.0,6546.0,13325.0,29312.0,12609.0,27540.0,27771.0,41.55285971619099
48475,Ward County,Texas,11998.0,952.0,2508.0,1046.0,3239.0,2624.0,1629.0,3460.0,5550.0,2988.0,6078.0,5907.0,5.543847198452282
48477,Washington County,Texas,35882.0,1994.0,5671.0,4100.0,7452.0,8776.0,7889.0,7665.0,15369.0,12848.0,17429.0,18197.0,22.930300951911548
48479,Webb County,Texas,276652.0,24736.0,64920.0,31388.0,72341.0,56346.0,26921.0,89656.0,135892.0,51104.0,136078.0,140309.0,31.776483683572074
48481,Wharton County,Texas,41556.0,2825.0,7887.0,3657.0,9967.0,9981.0,7239.0,10712.0,18269.0,12575.0,20515.0,21156.0,14.772224340690578
48483,Wheeler County,Texas,5056.0,312.0,972.0,332.0,1181.0,1257.0,1002.0,1284.0,2049.0,1723.0,2521.0,2505.0,2.134591049691224
48485,Wichita County,Texas,132230.0,8292.0,21496.0,17321.0,35401.0,29866.0,19854.0,29788.0,66459.0,35983.0,68302.0,64026.0,81.34928169051827
48487,Wilbarger County,Texas,12769.0,757.0,2064.0,1133.0,3237.0,3157.0,2421.0,2821.0,5800.0,4148.0,6271.0,6424.0,5.077665942659264
48489,Willacy County,Texas,21358.0,1335.0,3680.0,2778.0,6262.0,4246.0,3057.0,5015.0,11256.0,5087.0,11761.0,9519.0,13.96291957705468
48491,Williamson County,Texas,590551.0,37425.0,111533.0,46919.0,179965.0,141507.0,73202.0,148958.0,306460.0,135133.0,291894.0,299929.0,203.88559520562123
48493,Wilson County,Texas,51070.0,2984.0,9178.0,4141.0,12196.0,14160.0,8411.0,12162.0,23326.0,15582.0,25574.0,25376.0,24.533271515061582
48495,Winkler County,Texas,8010.0,596.0,1733.0,780.0,2104.0,1833.0,964.0,2329.0,3823.0,1858.0,4107.0,3863.0,3.6762070923055976
48497,Wise County,Texas,69984.0,4365.0,12916.0,5438.0,17463.0,19204.0,10598.0,17281.0,32119.0,20584.0,34999.0,34878.0,29.877444536061663
48499,Wood County,Texas,45539.0,2165.0,6422.0,3780.0,8646.0,11999.0,12527.0,8587.0,17390.0,19562.0,22584.0,23037.0,27.249649135261414
48501,Yoakum County,Texas,8713.0,783.0,2066.0,869.0,2162.0,1800.0,1033.0,2849.0,3884.0,1980.0,4420.0,4266.0,4.206633472622276
48503,Young County,Texas,18010.0,1063.0,3198.0,1304.0,4076.0,4595.0,3774.0,4261.0,7414.0,6335.0,8922.0,9015.0,7.603845769167164
48505,Zapata County,Texas,14179.0,1214.0,3474.0,1480.0,3418.0,2727.0,1866.0,4688.0,6392.0,3099.0,7092.0,7129.0,5.483247765619364
48507,Zavala County,Texas,11840.0,847.0,2514.0,1418.0,2992.0,2346.0,1723.0,3361.0,5631.0,2848.0,6012.0,5795.0,3.5235275577113936
49001,Beaver County,Utah,6710.0,557.0,1619.0,590.0,1589.0,1409.0,946.0,2176.0,2799.0,1735.0,3425.0,3300.0,1.0030372435619792
49003,Box Elder County,Utah,56046.0,4487.0,12975.0,4952.0,14748.0,11485.0,7399.0,17462.0,25128.0,13456.0,28486.0,27471.0,3.766274903539404
49005,Cache County,Utah,128289.0,10552.0,28054.0,24223.0,32867.0,20023.0,12570.0,38606.0,67493.0,22190.0,64134.0,64175.0,42.527131698581606
49007,Carbon County,Utah,20463.0,1260.0,3984.0,1919.0,4998.0,4614.0,3688.0,5244.0,8929.0,6290.0,10181.0,10295.0,5.341330801645029
49009,Daggett County,Utah,950.0,41.0,173.0,47.0,188.0,242.0,259.0,214.0,342.0,394.0,547.0,417.0,0.52626158423895
49011,Davis County,Utah,355481.0,28838.0,83969.0,32910.0,102830.0,70296.0,36638.0,112807.0,172587.0,70087.0,179494.0,175810.0,458.98082904135777
49013,Duchesne County,Utah,19938.0,1790.0,4874.0,1500.0,5316.0,3977.0,2481.0,6664.0,8709.0,4565.0,10054.0,9823.0,2.379377470187677
49015,Emery County,Utah,10012.0,615.0,2229.0,814.0,2299.0,2287.0,1768.0,2844.0,4117.0,3051.0,5117.0,4944.0,0.8662965847022296
49017,Garfield County,Utah,5051.0,293.0,868.0,355.0,1139.0,1182.0,1214.0,1161.0,1996.0,1894.0,2613.0,2387.0,0.3768398290437847
49019,Grand County,Utah,9754.0,563.0,1536.0,625.0,2623.0,2516.0,1891.0,2099.0,4367.0,3288.0,4857.0,4916.0,1.0254025548404004
49021,Iron County,Utah,54839.0,4083.0,11507.0,8212.0,13788.0,10179.0,7070.0,15590.0,26859.0,12390.0,27644.0,27625.0,6.423328175966198
49023,Juab County,Utah,12017.0,1042.0,3063.0,1145.0,3107.0,2233.0,1427.0,4105.0,5423.0,2489.0,6166.0,5836.0,1.3679920938977324
49025,Kane County,Utah,7886.0,456.0,1409.0,540.0,1766.0,1868.0,1847.0,1865.0,3093.0,2928.0,3954.0,3919.0,0.7631185130004493
49027,Millard County,Utah,13188.0,1017.0,3073.0,1069.0,2925.0,2756.0,2348.0,4090.0,5219.0,3879.0,6705.0,6395.0,0.7709197153633703
49029,Morgan County,Utah,12124.0,859.0,3338.0,1074.0,2836.0,2572.0,1445.0,4197.0,5273.0,2654.0,6253.0,5862.0,7.684412301417386
49031,Piute County,Utah,1479.0,61.0,295.0,108.0,260.0,339.0,416.0,356.0,505.0,618.0,752.0,720.0,0.7529223991854636
49033,Rich County,Utah,2483.0,176.0,553.0,204.0,553.0,539.0,458.0,729.0,991.0,763.0,1277.0,1191.0,0.9318118744073829
49035,Salt Lake County,Utah,1160437.0,83687.0,225458.0,110953.0,363340.0,246948.0,130051.0,309145.0,604834.0,246458.0,581624.0,576961.0,603.783044904519
49037,San Juan County,Utah,15308.0,1101.0,3385.0,1513.0,3556.0,3472.0,2281.0,4486.0,6710.0,4112.0,7595.0,7633.0,0.7558336936933489
49039,Sanpete County,Utah,30939.0,1883.0,5908.0,4416.0,7876.0,6368.0,4488.0,7791.0,15498.0,7650.0,16347.0,14639.0,7.513292929760167
