FIPS,Years of Potential Life Lost Rate,% Fair or Poor Health,% Smokers,% Adults with Obesity,Primary Care Physicians Rate,% Flu Vaccinated,% Unemployed,Average Daily PM2.5,% Severe Housing Problems
13109,9321.815035,22.260540,19.269090,31.400000,27.842230,44.000000,3.662258,10.400000,17.974684
13111,9733.983065,17.176082,15.715940,26.300000,43.440490,44.000000,3.943964,9.400000,13.602015
13113,5110.796290,12.914832,12.821386,29.200000,110.174240,49.000000,3.479435,11.500000,11.146783
13115,9574.377477,19.031798,17.005830,37.700000,123.958900,47.000000,4.305010,10.900000,16.374769
13117,3873.344350,12.992569,12.546140,27.300000,39.040740,48.000000,3.148719,11.200000,10.278195
13119,10541.913040,19.288313,18.354444,32.700000,26.292730,52.000000,3.832683,10.500000,15.375303
13121,6715.587646,14.753618,14.925509,25.000000,108.505380,46.000000,4.018900,12.000000,18.757222
13123,9677.015863,17.220289,15.637647,23.500000,52.161440,43.000000,4.227819,9.900000,13.432165
13125,9971.431369,17.106813,17.351446,25.600000,32.658390,41.000000,4.169884,10.600000,10.407240
13127,9176.445167,18.059084,16.392286,33.300000,51.593540,43.000000,3.669360,8.900000,17.716475
13129,9230.640030,18.881823,18.007467,29.600000,45.542920,46.000000,3.761655,11.000000,16.177958
13131,10138.228181,20.822704,19.048899,34.300000,48.350050,41.000000,3.865593,11.100000,14.566285
13133,9010.965423,21.488105,16.848015,33.100000,52.080320,46.000000,4.246497,11.100000,18.651685
13135,5201.973271,16.439486,14.495134,30.300000,63.134330,44.000000,3.498666,11.200000,17.525404
13137,7541.658986,18.045941,16.331356,25.600000,49.363880,46.000000,3.688419,9.700000,16.526422
13139,6611.818342,18.314849,15.636843,32.600000,54.180150,46.000000,3.166322,10.500000,17.729643
13141,9937.737613,27.090118,21.561141,31.500000,11.680880,32.000000,6.010488,10.900000,21.669627
13143,10801.949600,16.290696,17.507714,23.400000,44.435330,35.000000,3.853534,10.700000,14.101975
13145,5890.627778,13.368868,13.692671,35.900000,35.382570,42.000000,3.411807,11.300000,9.444444
13147,6777.744569,19.158612,17.570672,32.800000,34.891840,49.000000,3.621265,10.600000,16.075886
13149,11020.925679,18.373018,17.541173,38.400000,17.050300,34.000000,3.878648,10.800000,13.058419
13151,7470.905670,17.202264,15.813825,36.000000,47.384340,42.000000,4.142547,11.700000,15.394366
13153,7537.096192,18.756098,17.193163,39.700000,53.427500,39.000000,3.993048,11.300000,14.513748
13155,12295.673801,22.305971,20.337675,40.400000,31.880980,47.000000,5.598802,10.600000,15.701220
13157,7199.256482,15.327346,15.693433,29.600000,53.318330,49.000000,2.987751,11.000000,13.994790
13159,8944.658545,20.261203,19.118412,38.200000,35.806360,45.000000,3.465204,11.300000,16.682832
13161,11977.367822,21.367238,19.425546,31.000000,26.622300,39.000000,4.870824,10.600000,14.956855
13163,11577.308700,23.974745,20.476111,28.700000,31.952970,26.000000,5.320883,11.000000,16.396243
13165,10158.662117,25.864056,22.168036,35.100000,34.219230,31.000000,5.396132,10.400000,23.628692
13167,10997.831807,20.060213,18.355069,41.600000,51.082960,37.000000,3.954666,10.800000,17.350158
13169,7489.346681,16.790458,16.138476,34.700000,24.587280,45.000000,3.658361,11.600000,9.792571
13171,10615.286144,18.784217,17.738757,32.200000,43.013070,44.000000,4.557773,11.200000,15.035800
13173,8708.685720,21.134835,20.483894,37.600000,,27.000000,4.395319,10.100000,19.812584
13175,10948.539057,23.565686,20.003200,41.800000,88.738640,43.000000,4.809465,11.200000,13.677639
13177,7671.874617,15.060226,15.883968,44.000000,67.865630,43.000000,3.560632,11.200000,11.259259
