FIPS,County,Vulnerability Index,Infection Rate: Transmissible Cases,Infection Rate: Disease Spread,Pop Concentration: Pop Mobility,Pop Concentration: Residential Density,Intervention: Testing,Health & Environment: Pop Demographics,Health & Environment: Air Pollution,Health & Environment: Age Distribution,Health & Environment: Co-morbidities,Health & Environment: Health Disparities,Health & Environment: Hospital Beds
12001,"Florida, Alachua",0.562718204,0.699109493,0.304814385,0.674650465,0.8937,0.472604395,0.539464483,0.317365269,0.464081714,0.256904817,0.348506999,0.333036969
12009,"Florida, Brevard",0.521746349,0.642003113,0.286705419,0.690063043,0.3489,0.472604395,0.497736829,0.25748503,0.672645933,0.351789207,0.266887679,0.430713515
12011,"Florida, Broward",0.58081433,0.822354852,0.345153925,0.767765568,0.6638,0.472604395,0.583627219,0.215568862,0.533440509,0.220747289,0.367388118,0.41354615
12031,"Florida, Duval",0.594379977,0.761034855,0.279784781,0.736747135,0.8281,0.472604395,0.597623136,0.329341317,0.469686207,0.396248704,0.361029248,0.391780087
12035,"Florida, Flagler",0.510621987,0.644316091,0.336793541,0.626055013,0.1019,0.472604395,0.484138818,0.269461078,0.763790564,0.304179122,0.291465548,0.579986597
12057,"Florida, Hillsborough",0.567590876,0.733258362,0.249982604,0.743275093,0.8099,0.472604395,0.553654991,0.245508982,0.480648521,0.262325056,0.362287242,0.413088933
12071,"Florida, Lee",0.561550405,0.719683359,0.225672194,0.693763327,0.6103,0.472604395,0.485992075,0.275449102,0.738978797,0.257608068,0.355737095,0.433805406
12073,"Florida, Leon",0.580557186,0.726603661,0.339590444,0.670674945,0.8497,0.472604395,0.576223009,0.449101796,0.440780889,0.28464499,0.33207297,0.389714918
12086,"Florida, Miami-Dade",0.61949415,0.880039478,0.349313296,0.776201285,0.8988,0.472604395,0.492377134,0.251497006,0.526341402,0.192414128,0.552528679,0.412314999
12095,"Florida, Orange",0.564753741,0.740723382,0.255045294,0.751800016,0.787,0.472604395,0.583532677,0.233532934,0.4094438,0.233729388,0.402775297,0.411344296
12099,"Florida, Palm Beach",0.566899042,0.759181697,0.274804257,0.725650166,0.6485,0.472604395,0.578723296,0.173652695,0.675858813,0.224753276,0.32842799,0.445422056
12103,"Florida, Pinellas",0.563937349,0.69726489,0.232468661,0.766760508,0.8112,0.472604395,0.48577575,0.22754491,0.685334539,0.281917022,0.261200807,0.394964758
12105,"Florida, Polk",0.617458212,0.742304597,0.308036805,0.658752082,0.9013,0.472604395,0.56834632,0.317365269,0.618940916,0.437587558,0.508524888,0.450052664
12111,"Florida, St. Lucie",0.57297919,0.732938057,0.326738731,0.685466036,0.4941,0.472604395,0.580715011,0.239520958,0.675858813,0.33621046,0.45872594,0.446647506
12127,"Florida, Volusia",0.558239374,0.699321209,0.318324139,0.678733531,0.5205,0.472604395,0.503739857,0.275449102,0.683771888,0.375956559,0.357586626,0.404370252
13021,"Georgia, Bibb",0.642875024,0.767235222,0.327660994,0.715868586,0.865,0.57136456,0.611994586,0.497005988,0.506721514,0.461179173,0.563283303,0.323203079
13051,"Georgia, Chatham",0.611332135,0.756608608,0.364563416,0.708326619,0.8208,0.57136456,0.605179571,0.413173653,0.496510141,0.339804601,0.414196981,0.396984678
13059,"Georgia, Clarke",0.60737192,0.701368425,0.316781898,0.719771691,0.9551,0.57136456,0.579954436,0.479041916,0.371626963,0.263255904,0.554012399,0.372418234
13089,"Georgia, DeKalb",0.584083338,0.689790662,0.230866062,0.795374275,0.7208,0.57136456,0.657135796,0.431137725,0.412698771,0.245457748,0.404538103,0.445250113
13095,"Georgia, Dougherty",0.62942669,0.691109215,0.131166797,0.662064515,0.9204,0.57136456,0.632073772,0.461077844,0.501650799,0.51631264,0.670998541,0.277069028
